iteration,episode_reward,smoothed_reward,episode_length,elapsed_time,best_reward
313,-1690,-2193.6236132712065,99,1490.6227052211761,-540
314,-2930,-2267.261251944086,99,1495.3274478912354,-540
315,-3300,-2370.535126749677,99,1500.4064078330994,-540
316,-1965,-2329.9816140747093,99,1505.0121133327484,-540
317,-1940,-2290.9834526672385,99,1509.084426164627,-540
318,-2100,-2271.8851074005147,99,1514.1221783161163,-540
319,-1360,-2180.696596660463,99,1518.4165070056915,-540
320,-3205,-2283.1269369944166,99,1522.5501029491425,-540
321,-2995,-2354.314243294975,99,1527.79212474823,-540
322,-2805,-2399.3828189654773,99,1532.9073390960693,-540
323,-1825,-2341.9445370689295,99,1537.0495574474335,-540
324,-1135,-2221.2500833620365,99,1541.2567105293274,-540
325,-2120,-2211.125075025833,99,1545.5286021232605,-540
326,-2030,-2193.0125675232503,99,1550.6264684200287,-540
327,-2360,-2209.7113107709256,99,1554.775004863739,-540
328,-2080,-2196.740179693833,99,1559.1201622486115,-540
329,-2015,-2178.5661617244496,99,1563.598331451416,-540
330,-1165,-2077.209545552005,99,1568.4101140499115,-540
331,-1100,-1979.4885909968043,99,1572.321317911148,-540
332,-3780,-2159.5397318971236,99,1577.368774175644,-540
333,-1740,-2117.5857587074115,99,1581.9712455272675,-540
334,-1400,-2045.8271828366703,99,1586.398931503296,-540
335,-2765,-2117.744464553003,99,1590.9709236621857,-540
336,-1530,-2058.970018097703,99,1596.4589896202087,-540
337,-1405,-1993.5730162879327,99,1601.3030471801758,-540
338,-3335,-2127.7157146591394,99,1606.6277170181274,-540
339,-3380,-2252.9441431932255,99,1611.4919905662537,-540
340,-910,-2118.649728873903,99,1616.263595342636,-540
341,-1600,-2066.7847559865127,99,1621.2323377132416,-540
342,-1820,-2042.1062803878615,99,1626.0334212779999,-540
343,-2365,-2074.395652349075,99,1630.233274936676,-540
344,-1890,-2055.9560871141675,99,1635.4340550899506,-540
345,-1650,-2015.360478402751,99,1640.0827481746674,-540
346,-1425,-1956.3244305624758,99,1645.3989970684052,-540
347,-2210,-1981.6919875062283,99,1650.2934918403625,-540
348,-2180,-2001.5227887556055,99,1655.0813403129578,-540
349,-1110,-1912.370509880045,99,1659.2668404579163,-540
350,-3335,-2054.6334588920404,99,1663.564727306366,-540
351,-1375,-1986.6701130028364,99,1667.7489213943481,-540
352,-1535,-1941.5031017025528,99,1672.0830013751984,-540
353,-770,-1824.3527915322975,99,1676.7299325466156,-540
354,-1805,-1822.4175123790678,99,1682.0139219760895,-540
355,-1360,-1776.175761141161,99,1686.713709115982,-540
356,-725,-1671.058185027045,99,1691.9809470176697,-540
357,-3935,-1897.4523665243405,99,1696.380529165268,-540
358,-1880,-1895.7071298719065,99,1701.5966720581055,-540
359,-1210,-1827.136416884716,99,1706.2800436019897,-540
360,-2435,-1887.9227751962444,99,1711.0655419826508,-540
361,-1395,-1838.63049767662,99,1714.9281656742096,-540
362,-1675,-1822.267447908958,99,1719.645775794983,-540
363,-2220,-1862.0407031180623,99,1723.8449144363403,-540
364,-3550,-2030.8366328062561,99,1728.481288909912,-540
365,-2835,-2111.2529695256308,99,1733.4489650726318,-540
366,-2560,-2156.1276725730677,99,1737.886536359787,-540
367,-1600,-2100.514905315761,99,1742.192791223526,-540
368,-1575,-2047.963414784185,99,1746.7326142787933,-540
369,-740,-1917.1670733057665,99,1751.3095831871033,-540
370,-2330,-1958.45036597519,99,1756.2595579624176,-540
371,-1990,-1961.605329377671,99,1760.7190895080566,-540
372,-2340,-1999.444796439904,99,1765.1306426525116,-540
373,-2530,-2052.5003167959135,99,1770.0124576091766,-540
374,-1745,-2021.7502851163222,99,1775.1515264511108,-540
375,-1125,-1932.07525660469,99,1780.2761857509613,-540
376,-2975,-2036.367730944221,99,1785.09082365036,-540
377,-1010,-1933.7309578497989,99,1789.1064636707306,-540
378,-1470,-1887.357862064819,99,1794.347666501999,-540
379,-2735,-1972.1220758583372,99,1798.7611918449402,-540
380,-1560,-1930.9098682725034,99,1802.9505903720856,-540
381,-1500,-1887.818881445253,99,1807.5851805210114,-540
382,-1280,-1827.0369933007278,99,1812.5392882823944,-540
383,-2040,-1848.333293970655,99,1817.427125453949,-540
384,-2175,-1880.9999645735895,99,1822.4407694339752,-540
385,-2550,-1947.8999681162306,99,1827.183445930481,-540
386,-2280,-1981.1099713046076,99,1831.6166610717773,-540
387,-2270,-2009.998974174147,99,1836.2476243972778,-540
388,-2880,-2096.9990767567324,99,1840.9971933364868,-540
389,-1980,-2085.2991690810595,99,1845.7113687992096,-540
390,-2375,-2114.2692521729537,99,1850.350646018982,-540
391,-3085,-2211.3423269556583,99,1855.088294506073,-540
392,-1300,-2120.2080942600924,99,1859.3376712799072,-540
393,-1705,-2078.687284834083,99,1864.392019033432,-540
394,-2590,-2129.818556350675,99,1868.910057067871,-540
395,-2570,-2173.8367007156075,99,1874.2272543907166,-540
396,-1050,-2061.4530306440465,99,1878.5338830947876,-540
397,-2265,-2081.8077275796422,99,1882.9989976882935,-540
398,-1960,-2069.626954821678,99,1887.4314091205597,-540
399,-1695,-2032.1642593395102,99,1892.3802468776703,-540
400,-1855,-2014.447833405559,99,1896.891356229782,-540
401,-2855,-2098.503050065003,99,1902.3626432418823,-540
402,-1600,-2048.6527450585027,99,1907.333645582199,-540
403,-2005,-2044.2874705526524,99,1912.229742527008,-540
404,-2900,-2129.8587234973875,99,1917.7290678024292,-540
405,-1035,-2020.3728511476488,99,1922.6100034713745,-540
406,-1740,-1992.335566032884,99,1927.9115254878998,-540
407,-1785,-1971.6020094295955,99,1932.3554937839508,-540
408,-2235,-1997.9418084866359,99,1936.599373102188,-540
409,-2265,-2024.6476276379724,99,1941.458685874939,-540
410,-1405,-1962.6828648741753,99,1945.6997225284576,-540
411,-2170,-1983.4145783867577,99,1949.839195728302,-540
412,-1890,-1974.073120548082,99,1954.7363424301147,-540
413,-1790,-1955.6658084932737,99,1959.3362410068512,-540
414,-1900,-1950.0992276439465,99,1964.4773998260498,-540
415,-1610,-1916.089304879552,99,1968.711439371109,-540
416,-1890,-1913.4803743915968,99,1973.3941917419434,-540
417,-2125,-1934.632336952437,99,1977.9734671115875,-540
418,-3195,-2060.6691032571935,99,1982.5418910980225,-540
419,-1350,-1989.602192931474,99,1986.4277980327606,-540
420,-2075,-1998.1419736383266,99,1991.1582701206207,-540
421,-1660,-1964.327776274494,99,1995.5725846290588,-540
